Plate,column,Treatment,Sample,Site,Host,Row,Germinated,Ungerminated
1,1,5DS,Sther121,Kisii,Maize,A,0,47
1,1,5DS,Sther121,Kisii,Maize,B,1,50
1,1,5DS,Sther121,Kisii,Maize,C,3,63
1,2,5DS,Sther132,HomaBay,Sorghum,A,4,21
1,2,5DS,Sther132,HomaBay,Sorghum,B,6,37
1,2,5DS,Sther132,HomaBay,Sorghum,C,7,18
1,3,5DS,Sther105,Kisii,FingerMillet,A,31,20
1,3,5DS,Sther105,Kisii,FingerMillet,B,18,26
1,3,5DS,Sther105,Kisii,FingerMillet,C,15,13
1,4,5DS,Sther144,HomaBay,Maize,A,58,3
1,4,5DS,Sther144,HomaBay,Maize,B,38,0
1,4,5DS,Sther144,HomaBay,Maize,C,39,0
2,1,ORO,Sther118,Kisii,Maize,A,31,36
2,1,ORO,Sther118,Kisii,Maize,B,18,42
2,1,ORO,Sther118,Kisii,Maize,C,23,37
2,2,ORO,Sther108,Kisii,FingerMillet,A,39,11
2,2,ORO,Sther108,Kisii,FingerMillet,B,27,12
2,2,ORO,Sther108,Kisii,FingerMillet,C,25,9
2,3,ORO,Sther139,HomaBay,Maize,A,1,3
2,3,ORO,Sther139,HomaBay,Maize,B,1,1
2,3,ORO,Sther139,HomaBay,Maize,C,1,3
2,4,ORO,Sther134,HomaBay,Sorghum,A,34,32
2,4,ORO,Sther134,HomaBay,Sorghum,B,44,15
2,4,ORO,Sther134,HomaBay,Sorghum,C,37,49
3,1,5DS,Sther118,Kisii,Maize,A,71,12
3,1,5DS,Sther118,Kisii,Maize,B,14,29
3,1,5DS,Sther118,Kisii,Maize,C,6,14
3,2,5DS,Sther108,Kisii,FingerMillet,A,34,13
3,2,5DS,Sther108,Kisii,FingerMillet,B,49,26
3,2,5DS,Sther108,Kisii,FingerMillet,C,33,16
3,3,5DS,Sther139,HomaBay,Maize,A,14,4
3,3,5DS,Sther139,HomaBay,Maize,B,15,5
3,3,5DS,Sther139,HomaBay,Maize,C,1,1
3,4,5DS,Sther134,HomaBay,Sorghum,A,27,15
3,4,5DS,Sther134,HomaBay,Sorghum,B,25,23
3,4,5DS,Sther134,HomaBay,Sorghum,C,39,19
4,1,ORO,Sther119,Kisii,Maize,A,5,44
4,1,ORO,Sther119,Kisii,Maize,B,2,80
4,1,ORO,Sther119,Kisii,Maize,C,0,55
4,2,ORO,Sther103,Kisii,FingerMillet,A,36,11
4,2,ORO,Sther103,Kisii,FingerMillet,B,36,19
4,2,ORO,Sther103,Kisii,FingerMillet,C,51,20
4,3,ORO,Sther141,HomaBay,Maize,A,30,30
4,3,ORO,Sther141,HomaBay,Maize,B,36,52
4,3,ORO,Sther141,HomaBay,Maize,C,20,31
4,4,ORO,Sther130,HomaBay,Sorghum,A,52,25
4,4,ORO,Sther130,HomaBay,Sorghum,B,32,15
4,4,ORO,Sther130,HomaBay,Sorghum,C,46,16
5,1,5DS,Kibos,5DS,NA,A,22,17
5,1,5DS,Kibos,5DS,NA,B,16,17
5,1,5DS,Kibos,5DS,NA,C,54,33
5,2,ORO,Kibos,ORO,NA,A,38,34
5,2,ORO,Kibos,ORO,NA,B,24,32
5,2,ORO,Kibos,ORO,NA,C,27,20
5,3,GR24,Kibos,GR24_0.1ppm,NA,A,43,25
5,3,GR24,Kibos,GR24_0.1ppm,NA,B,38,28
5,3,GR24,Kibos,GR24_0.1ppm,NA,C,37,10
5,4,H2O,Kibos,H2O,NA,A,0,42
5,4,H2O,Kibos,H2O,NA,B,0,60
5,4,H2O,Kibos,H2O,NA,C,0,59
6,1,5DS,Sther116,Kisii,Maize,A,3,35
6,1,5DS,Sther116,Kisii,Maize,B,6,45
6,1,5DS,Sther116,Kisii,Maize,C,6,34
6,2,5DS,Sther129,HomaBay,Sorghum,A,9,30
6,2,5DS,Sther129,HomaBay,Sorghum,B,8,31
6,2,5DS,Sther129,HomaBay,Sorghum,C,15,32
6,3,5DS,Sther128,HomaBay,Sorghum,A,47,29
6,3,5DS,Sther128,HomaBay,Sorghum,B,32,29
6,3,5DS,Sther128,HomaBay,Sorghum,C,NA,NA
6,4,5DS,Sther143,HomaBay,Maize,A,28,6
6,4,5DS,Sther143,HomaBay,Maize,B,NA,NA
6,4,5DS,Sther143,HomaBay,Maize,C,NA,NA
7,1,ORO,Sther116,Kisii,Maize,A,7,57
7,1,ORO,Sther116,Kisii,Maize,B,8,52
7,1,ORO,Sther116,Kisii,Maize,C,6,19
7,2,ORO,Sther129,HomaBay,Sorghum,A,17,46
7,2,ORO,Sther129,HomaBay,Sorghum,B,4,22
7,2,ORO,Sther129,HomaBay,Sorghum,C,13,15
7,3,ORO,Sther128,HomaBay,Sorghum,A,27,19
7,3,ORO,Sther128,HomaBay,Sorghum,B,55,27
7,3,ORO,Sther128,HomaBay,Sorghum,C,48,19
7,4,ORO,Sther143,HomaBay,Maize,A,35,16
7,4,ORO,Sther143,HomaBay,Maize,B,43,39
7,4,ORO,Sther143,HomaBay,Maize,C,37,22
8,1,ORO,Sther122,Kisii,Maize,A,63,7
8,1,ORO,Sther122,Kisii,Maize,B,52,10
8,1,ORO,Sther122,Kisii,Maize,C,77,8
8,2,ORO,Sther110,Kisii,FingerMillet,A,19,66
8,2,ORO,Sther110,Kisii,FingerMillet,B,21,57
8,2,ORO,Sther110,Kisii,FingerMillet,C,28,58
8,3,ORO,Sther142,HomaBay,Maize,A,41,20
8,3,ORO,Sther142,HomaBay,Maize,B,49,18
8,3,ORO,Sther142,HomaBay,Maize,C,21,12
8,4,ORO,Sther109,Kisii,FingerMillet,A,41,19
8,4,ORO,Sther109,Kisii,FingerMillet,B,33,8
8,4,ORO,Sther109,Kisii,FingerMillet,C,33,13
9,1,ORO,Sther121,Kisii,Maize,A,4,60
