gene_id	Stage_0	Stage_1	Stage_2	Stage_3	Stage_4	Stage_5	Stage_6_1	Stage_6_2
StHeBC4_c10541_g0	0	0.13	0	0	0	0.18	0	0
StHeBC4_c11261_g0	0.06	2.51	335.72	131.33	23.52	13.16	0	0
StHeBC4_c11471_g0	0.14	0	0	0	0	0	0	0
StHeBC4_c11483_g0	0.44	0.34	0	0.18	0.35	0.68	0.34	0.17
StHeBC4_c12587_g2	16.87	6.83	10.79	12.04	7.17	10.21	3.2	4.95
StHeBC4_c12903_g10585	1.31	1.91	1.67	3.71	6.45	4.36	0.6	0.06
StHeBC4_c12903_g10875	14.16	6.53	8.63	10.54	9.31	20.25	13.43	14.71
StHeBC4_c12903_g11366	114.14	18.61	44.68	16.16	10.34	19.67	9.35	13.08
StHeBC4_c12903_g11444	1.27	2.11	3.07	2.86	0.58	1.25	0.47	0.8
StHeBC4_c12903_g12703	5.03	5.5	5.28	6.79	10.77	11.08	52.27	19.92
StHeBC4_c12903_g12842	1.91	74.36	61.15	106.09	61.07	95.45	10.12	9.81
StHeBC4_c12903_g13577	3.81	3.45	2	2.83	2.97	2.95	2.31	1.77
StHeBC4_c12903_g14483	1.44	0.33	0.71	0.45	0.28	0.36	0.15	0.14
StHeBC4_c12903_g14484	16.19	33.9	24.64	33.14	21.36	3.44	21.1	24.68
StHeBC4_c12903_g14638	0.03	0.02	0.05	0.12	0.01	0.13	0.01	0.01
StHeBC4_c12903_g15230	0.83	0.15	0.39	0.35	0.27	0.75	0.43	0.68
StHeBC4_c12903_g15476	0.13	0.05	0.12	0.08	0.05	0.03	0	0
StHeBC4_c12903_g15810	27.21	28.97	19.55	32.61	37.76	13.97	13.24	12.1
StHeBC4_c12903_g15860	3.79	1.54	2.62	2.95	2.26	4.93	1.04	2.62
StHeBC4_c12903_g16488	0.21	0.15	0.1	0.21	0.07	1.08	1.09	1.89
StHeBC4_c12903_g17146	1.96	1.05	1.12	1.41	0.4	0.33	0.08	0.1
StHeBC4_c12903_g18100	0	0	0	0	0.09	0	0	0
StHeBC4_c12903_g18330	8.65	4.12	6.66	7.69	7.32	5.05	3.8	4.66
StHeBC4_c12903_g18700	0.81	0.32	0.59	0.37	0.27	0.44	0.33	0.62
StHeBC4_c12903_g20268	13.74	21.61	14.68	28.47	35.5	15.05	24.85	22.16
StHeBC4_c12903_g20722	1.02	15.7	8.54	13.24	9.48	25.61	30.55	53.7
StHeBC4_c12903_g208	0.87	0.26	0.29	0.48	0.43	0.57	0.27	0.21
StHeBC4_c12903_g2185	48.3	1119.47	1132.48	2566.77	2798.58	650.38	377.57	311.24
StHeBC4_c12903_g22518	0.11	0.12	0.09	0	0	0	0	0
StHeBC4_c12903_g22741	1.13	0.71	0.96	1.16	1	2.1	0.58	0.5
StHeBC4_c12903_g2276	22.54	7.27	10.28	9.7	10.25	16.37	7.98	9
StHeBC4_c12903_g23955	0.03	0.09	0	0.16	0.04	0.19	0.08	0
StHeBC4_c12903_g26306	7.34	4.14	5.61	3.83	2.94	6.32	9.83	7.04
StHeBC4_c12903_g27140	3.18	10.22	5.18	8.63	11.86	5.63	2.01	6
StHeBC4_c12903_g30160	4.61	6.03	6.41	10.53	6.71	6.1	5.98	3.43
StHeBC4_c12903_g30936	1.95	1.24	0.77	1.32	1.85	1.76	1.43	0.79
StHeBC4_c12903_g32577	2.6	4.18	3.88	4.84	6.43	3.91	9.63	5.1
StHeBC4_c12903_g33372	3.42	2.71	2.86	4.44	4.01	4.11	2.91	3.2
StHeBC4_c12903_g33449	0.67	0.49	1.31	1.47	0.2	1.69	1.33	1.17
StHeBC4_c12903_g33550	0	0.04	0.07	0.08	0.04	0	0.28	0.26
StHeBC4_c12903_g33830	0.21	0.87	0.7	1.07	1.01	2	1.01	2.24
StHeBC4_c12903_g34427	2.02	0.9	0.87	1.53	1.11	2.44	3.42	1.67
