gene_id	Stage_0	Stage_1	Stage_2	Stage_3	Stage_4	Stage_5	Stage_6_1	Stage_6_2
StHeBC4_c10001_g0	0	75.65	17.53	7.99	12.01	0.55	0.75	7.93
StHeBC4_c10002_g0	0	0.3	0.19	0.15	0	0	0.35	11.53
StHeBC4_c10003_g0	0	0	0.32	0.16	0.99	2.79	102.39	25.17
StHeBC4_c10004_g0	0	0	0	0	0.15	0	0.14	0
StHeBC4_c10004_g1	2.06	0.57	0.91	1.3	1.37	0.72	1.07	2.01
StHeBC4_c10004_g2	51.91	244.54	134.13	205	254.52	97.61	328.11	335.05
StHeBC4_c10004_g3	34.54	121.52	69.87	105.2	115.14	55.79	21.2	24.33
StHeBC4_c10006_g0	0	0.17	0.33	0.29	0	0	1.89	2.27
StHeBC4_c10007_g0	0.1	0.12	0	0.51	0.4	0	0	0.12
StHeBC4_c10009_g0	0	0	0	0	0	0	0	0.19
StHeBC4_c10011_g0	0	0	0	0	0	1.22	4.22	4.06
StHeBC4_c10013_g0	0.09	0.35	0.37	0.41	1	0.34	0.47	0.17
StHeBC4_c10016_g0	0.54	0.32	0.84	0.16	0	0	0.16	0
StHeBC4_c10018_g0	0	1.44	0.24	1	0.42	0.51	1.39	1.5
StHeBC4_c10021_g0	0	0.28	0	0	0	0.32	0	0
StHeBC4_c10023_g0	0	0.17	0.06	0.08	0.24	0.1	0.45	1.93
StHeBC4_c10025_g0	0.46	6.72	3.15	1.92	3.65	2.98	5.66	4.37
StHeBC4_c10026_g0	0	2.32	21.47	11.1	62.68	1.09	0	0.06
StHeBC4_c10027_g0	0.67	3.95	6.04	3.33	3.29	1.34	1.02	2.75
StHeBC4_c10028_g0	0.11	0.58	0	0.15	0.46	0.2	0.41	0.44
StHeBC4_c10029_g0	0	0	0	0	0	0	0	0
StHeBC4_c10031_g0	0	0.11	0.08	0.1	0.05	0.16	0	0
StHeBC4_c10034_g0	0	0	0	0	0	0	0	0
