Kmer	hitPGPP	hitSh	Desc
2	None	Sh14Contig_45649	None
5	StHeBC4_u_c12903_g32907_i4	Sh14Contig_20178	probable nicotinate-nucleotide pyrophosphorylase
6	StHeBC4_u_c12903_g22013_i6	Sh14Contig_24947	None
9	StHeBC4_u_c3941_g0_i1	Sh14Contig_42609	hypothetical protein VITISV_012016
11	None	Sh14Contig_70490	None
17	StHeBC4_u_c12903_g34431_i1	Sh14Contig_17925	upf0326 protein at4g17486-like
18	StHeBC4_p_c12903_g35474_i1	Sh14Contig_4481	None
22	StHeBC4_u_c24490_g2_i1	Sh14Contig_81114	None
23	StHeBC4_p_c12903_g14638_i24	Sh14Contig_23122	far-red impaired response protein
24	StHeBC4_u_c12903_g34431_i2	Sh14Contig_17925	upf0326 protein at4g17486-like
27	StHeBC4_u_c12903_g19156_i3	Sh14Contig_3012	alcohol dehydrogenase homolog
30	StHeBC4_p_c26043_g0_i2	Sh14Contig_13886	omega-amidase nit2
33	StHeBC4_p_c12903_g10585_i1	Sh14Contig_34611	None
43	None	Sh14Contig_20326	None
44	StHeBC4_p_c12903_g6756_i1	Sh14Contig_12790	None
45	StHeBC4_u_c12903_g15860_i5	Sh14Contig_29096	None
48	StHeBC4_u_c12903_g7220_i1	Sh14Contig_60050	None
54	None	Sh14Contig_3989	None
56	StHeBC4_p_c12903_g2276_i2	Sh14Contig_4881	rna polymerase ii c-terminal domain phosphatase-like 1-like
62	StHeBC4_u_c12903_g1840_i3	Sh14Contig_19406	e3 ubiquitin-protein ligase ring1-like
63	None	Sh14Contig_71030	None
65	StHeBC4_p_c12903_g39698_i9	Sh14Contig_45458	gag-protease polyprotein
70	StHeBC4_u_c12903_g32907_i12	Sh14Contig_81511	None
73	StHeBC4_u_c12903_g34427_i1	Sh14Contig_46360	None
75	StHeBC4_p_c12903_g35474_i1	Sh14Contig_4481	None
76	StHeBC4_p_c12903_g11444_i1	Sh14Contig_40193	polyprotein
77	StHeBC4_u_c19051_g0_i1	Sh14Contig_66323	None
78	StHeBC4_p_c12903_g10585_i1	Sh14Contig_12790	None
80	StHeBC4_u_c12903_g1736_i4	Sh14Contig_28260	None
83	None	Sh14Contig_31117	PREDICTED: uncharacterized protein LOC100256114
85	StHeBC4_u_c12903_g33489_i1	Sh14Contig_51019	None
86	StHeBC4_p_c16693_g0_i2	Sh14Contig_33691	hypothetical protein VITISV_018984
87	StHeBC4_p_c23323_g2_i3	Sh14Contig_3290	diphthamide biosynthesis protein 2-like
90	StHeBC4_p_c18975_g7_i10	Sh14Contig_7369	None
94	StHeBC4_p_c12903_g4626_i6	Sh14Contig_4698	retrotransposon protein
98	None	Sh14Contig_80867	None
115	StHeBC4_h_c11261_g0_i2	Sh14Contig_13520	chemocyanin precursor
117	StHeBC4_p_c23585_g1_i4	Sh14Contig_1911	None
119	StHeBC4_p_c24979_g0_i1	Sh14Contig_4792	97 kda heat shock protein
121	StHeBC4_h_c12903_g23955_i1	Sh14Contig_45458	gag-protease polyprotein
123	StHeBC4_u_c12903_g1547_i1	Sh14Contig_68469	None
126	None	Sh14Contig_48379	None
128	StHeBC4_p_c12903_g30160_i1	Sh14Contig_57886	None
129	None	Sh14Contig_64011	None
130	None	Sh14Contig_1642	retrotransposon ty1-copia subclass
131	StHeBC4_p_c22011_g3_i2	Sh14Contig_15531	wd repeat-containing protein 26-like
134	StHeBC4_p_c12903_g7195_i9	Sh14Contig_60490	unnamed protein product
140	StHeBC4_h_c24484_g1_i2	Sh14Contig_42033	hypothetical protein VITISV_042364
